201905270808	['5', '4', '7', '0', '4']	4	杀 8杀对	杀 0杀对	杀 7杀对	杀 0杀对	杀 7杀对
201905270759	['2', '2', '8', '1', '2']	2	杀 6杀对	杀 8杀对	杀 8杀对	杀 0杀对	杀 4杀对
201905270800	['4', '5', '0', '2', '3']	3	杀 4杀对	杀 3杀错	杀 6杀对	杀 9杀对	杀 2杀对
201905270801	['1', '0', '1', '2', '1']	1	杀 8杀对	杀 8杀对	杀 7杀对	杀 8杀对	杀 3杀对
201905270802	['6', '7', '9', '6', '4']	4	杀 1杀对	杀 8杀对	杀 7杀对	杀 8杀对	杀 1杀对
201905270803	['2', '2', '5', '0', '9']	9	杀 6杀对	杀 8杀对	杀 5杀对	杀 8杀对	杀 8杀对
201905270804	['1', '7', '1', '6', '4']	4	杀 3杀对	杀 5杀对	杀 3杀对	杀 2杀对	杀 9杀对
201905270805	['9', '4', '8', '4', '7']	7	杀 8杀对	杀 9杀对	杀 3杀对	杀 4杀对	杀 5杀对
201905270806	['3', '4', '0', '5', '7']	7	杀 0杀对	杀 2杀对	杀 7杀错	杀 4杀对	杀 3杀对
201905270807	['3', '1', '9', '6', '8']	8	杀 3杀对	杀 5杀对	杀 8杀错	杀 9杀对	杀 4杀对
201905270809	['1', '5', '5', '6', '5']	5	杀 6杀对	杀 3杀对	杀 9杀对	杀 0杀对	杀 9杀对
201905270757	['2', '4', '9', '8', '5']	5	杀 2杀对	杀 5杀错	杀 2杀对	杀 9杀对	杀 1杀对
201905270810	['3', '8', '9', '7', '0']	0	杀 5杀对	杀 5杀对	杀 3杀对	杀 9杀对	杀 4杀对
201905270811	['6', '8', '6', '2', '4']	4	杀 7杀对	杀 2杀对	杀 5杀对	杀 6杀对	杀 0杀对
201905270812	['9', '1', '2', '4', '5']	5	杀 9杀对	杀 7杀对	杀 2杀对	杀 3杀对	杀 8杀对
201905270813	['6', '5', '3', '0', '3']	3	杀 5杀对	杀 3杀错	杀 4杀对	杀 6杀对	杀 7杀对
201905270814	['7', '0', '9', '0', '7']	7	杀 0杀对	杀 0杀对	杀 5杀对	杀 8杀对	杀 6杀对
201905270815	['4', '7', '2', '5', '2']	2	杀 7杀对	杀 0杀对	杀 3杀对	杀 4杀对	杀 4杀对
201905270816	['6', '3', '9', '8', '4']	4	杀 1杀对	杀 5杀对	杀 0杀对	杀 4杀错	杀 3杀对
201905270817	['0', '6', '8', '8', '9']	9	杀 5杀对	杀 1杀对	杀 6杀对	杀 7杀对	杀 2杀对
201905270818	['8', '7', '4', '4', '1']	1	杀 5杀对	杀 8杀对	杀 7杀对	杀 8杀对	杀 5杀对
201905270819	['0', '2', '8', '9', '4']	4	杀 5杀对	杀 5杀对	杀 7杀对	杀 3杀对	杀 2杀对
201905270758	['3', '6', '5', '9', '3']	3	杀 9杀对	杀 9杀对	杀 4杀对	杀 2杀对	杀 9杀对
201905270756	['5', '9', '2', '6', '0']	0	杀 1杀对	杀 8杀对	杀 1杀对	杀 2杀对	杀 6杀对
201905270821	['3', '5', '3', '5', '3']	3	杀 2杀对	杀 5杀对	杀 8杀对	杀 1杀对	杀 2杀对
201905270743	['3', '8', '6', '0', '7']	7	杀 0杀对	杀 7杀错	杀 9杀对	杀 0杀对	杀 9杀对
201905270734	['4', '4', '1', '9', '5']	5	杀 0杀对	杀 3杀对	杀 7杀对	杀 1杀对	杀 2杀对
201905270735	['3', '8', '0', '8', '2']	2	杀 2杀错	杀 9杀对	杀 8杀对	杀 0杀对	杀 6杀对
201905270736	['2', '8', '2', '3', '8']	8	杀 8杀错	杀 9杀对	杀 6杀对	杀 9杀对	杀 6杀对
201905270737	['1', '0', '3', '0', '1']	1	杀 6杀对	杀 7杀对	杀 1杀错	杀 1杀错	杀 1杀错
201905270738	['7', '5', '0', '9', '0']	0	杀 7杀对	杀 4杀对	杀 7杀对	杀 7杀对	杀 6杀对
201905270739	['7', '5', '6', '7', '0']	0	杀 4杀对	杀 8杀对	杀 9杀对	杀 7杀对	杀 6杀对
201905270740	['7', '9', '6', '3', '8']	8	杀 9杀对	杀 0杀对	杀 1杀对	杀 2杀对	杀 2杀对
201905270741	['5', '9', '2', '9', '1']	1	杀 0杀对	杀 7杀对	杀 4杀对	杀 8杀对	杀 4杀对
201905270742	['4', '1', '1', '4', '2']	2	杀 1杀对	杀 4杀对	杀 1杀对	杀 6杀对	杀 4杀对
201905270744	['6', '5', '9', '5', '7']	7	杀 1杀对	杀 2杀对	杀 0杀对	杀 1杀对	杀 7杀错
201905270755	['3', '4', '2', '4', '1']	1	杀 9杀对	杀 6杀对	杀 9杀对	杀 7杀对	杀 6杀对
201905270745	['7', '1', '6', '1', '7']	7	杀 1杀对	杀 3杀对	杀 9杀对	杀 0杀对	杀 5杀对
201905270746	['1', '1', '0', '0', '9']	9	杀 1杀对	杀 6杀对	杀 1杀对	杀 9杀错	杀 3杀对
201905270747	['3', '8', '7', '9', '7']	7	杀 5杀对	杀 2杀对	杀 6杀对	杀 0杀对	杀 2杀对
201905270748	['1', '8', '9', '8', '3']	3	杀 1杀对	杀 8杀对	杀 6杀对	杀 8杀对	杀 3杀错
201905270749	['4', '2', '6', '4', '2']	2	杀 8杀对	杀 1杀对	杀 1杀对	杀 2杀错	杀 2杀错
201905270750	['2', '1', '0', '3', '9']	9	杀 1杀对	杀 5杀对	杀 0杀对	杀 0杀对	杀 3杀对
201905270751	['2', '2', '8', '9', '8']	8	杀 4杀对	杀 6杀对	杀 8杀错	杀 2杀对	杀 8杀错
201905270752	['1', '9', '1', '2', '1']	1	杀 1杀错	杀 3杀对	杀 5杀对	杀 1杀错	杀 5杀对
201905270753	['8', '1', '3', '3', '5']	5	杀 7杀对	杀 5杀错	杀 2杀对	杀 0杀对	杀 7杀对
